Pygoscelis adeliae	Pygoscelis adeliae	Pygoscelis	Avian
Rattus	Rattus	Rattus	Mammal
Rattus andamanensis	Rattus andamanensis	Rattus	Mammal
Rattus annandalei	Sundamys annandalei	Sundamys	Mammal
Rattus argentiventer	Rattus argentiventer	Rattus	Mammal
Rattus exulans	Rattus exulans	Rattus	Mammal
Rattus flavipectus	Rattus flavipectus	Rattus	Mammal
Rattus losea	Rattus losea	Rattus	Mammal
Rattus nitidus	Rattus nitidus	Rattus	Mammal
Rattus norvegicus	Rattus norvegicus	Rattus	Mammal
Rattus pyctoris	Rattus pyctoris	Rattus	Mammal
Rattus rattus	Rattus rattus	Rattus	Mammal
Rattus sp.	Rattus sp.	Rattus	Mammal
Rattus tanezumi	Rattus tanezumi	Rattus	Mammal
Rattus tanezumi sladeni	Rattus tanezumi sladeni	Rattus	Mammal
Recurvirostra novaehollandiae	Recurvirostra novaehollandiae	Recurvirostra	Avian
Retropinna retropinna	Retropinna retropinna	Retropinna	Other
Rhinolophus	Rhinolophus	Rhinolophus	Mammal
Rhinolophus affinis	Rhinolophus affinis	Rhinolophus	Mammal
Rhinolophus coelophyllus	Rhinolophus coelophyllus	Rhinolophus	Mammal
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum	Rhinolophus	Mammal
Rhinolophus hipposideros	Rhinolophus hipposideros	Rhinolophus	Mammal
Rhinolophus lepidus	Rhinolophus lepidus	Rhinolophus	Mammal
Rhinolophus macrotis	Rhinolophus macrotis	Rhinolophus	Mammal
Rhinolophus pearsonii	Rhinolophus pearsonii	Rhinolophus	Mammal
Rhinolophus pusillus	Rhinolophus pusillus	Rhinolophus	Mammal
Rhinolophus rouxii	Rhinolophus rouxii	Rhinolophus	Mammal
Rhinolophus shameli	Rhinolophus shameli	Rhinolophus	Mammal
Rhinolophus sinicus	Rhinolophus sinicus	Rhinolophus	Mammal
Rhinolophus sp.	Rhinolophus sp.	Rhinolophus	Mammal
Rhinolophus stheno	Rhinolophus stheno	Rhinolophus	Mammal
Rhinolophus thomasi	Rhinolophus thomasi	Rhinolophus	Mammal
Rhinosciurus laticaudatus	Rhinosciurus laticaudatus	Rhinosciurus	Mammal
Rhizomys pruinosus	Rhizomys pruinosus	Rhizomys	Mammal
Rhizomys sinensis	Rhizomys sinensis	Rhizomys	Mammal
Rodentia	Rodentia	Rodentia	Mammal
Rousettus aegyptiacus	Rousettus aegyptiacus	Rousettus	Mammal
