organism	group
Bat astrovirus Tm/Guangxi/DX04/2007	BatAstV
Bat astrovirus Tm/Guangxi/DX09/2007	BatAstV
Bat astrovirus Tm/Guangxi/DX14/2007	BatAstV
Bat astrovirus Tm/Guangxi/DX17/2007	BatAstV
Bat astrovirus Tm/Guangxi/DX19/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD04/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD06/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD103/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD110/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD111/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD113/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD116/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD145/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD153/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD154/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD157/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD16/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD27/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD38/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD39/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD43/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD45/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD46/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD54/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD61/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD67/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD71/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD77/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD89/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD90/2007	BatAstV
Bat astrovirus Tm/Guangxi/LD98/2007	BatAstV
Bat astrovirus Tr/LS01/Hainan	BatAstV
Bat astrovirus WCF184/WCF168	BatAstV
Bat astrovirus ZK1	BatAstV
Bat bastrovirus	BatAstV
Bat picornavirus BS1	BatAstV
Bat picornavirus BS2	BatAstV
Bat picornavirus CX8	BatAstV
Bat picornavirus CX9	BatAstV
Bat picornavirus LS1	BatAstV
Bat picornavirus WD1	BatAstV
Bat picornavirus WD2	BatAstV
Cardioderma bat astrovirus	BatAstV
Coleura bat astrovirus	BatAstV
Hipposideros bat astrovirus	BatAstV
Jingmen bat astrovirus 1	BatAstV
Jingmen bat astrovirus 10	BatAstV
Jingmen bat astrovirus 11	BatAstV
Jingmen bat astrovirus 12	BatAstV
Jingmen bat astrovirus 2	BatAstV
Jingmen bat astrovirus 3	BatAstV
Jingmen bat astrovirus 4	BatAstV
Jingmen bat astrovirus 5	BatAstV
Jingmen bat astrovirus 6	BatAstV
Jingmen bat astrovirus 7	BatAstV
Jingmen bat astrovirus 8	BatAstV
Jingmen bat astrovirus 9	BatAstV
Jingmen bat bastrovirus 1	BatAstV
Jingmen bat bastrovirus 2	BatAstV
Longquan bat astrovirus 1	BatAstV
Longquan bat astrovirus 2	BatAstV
Microbat bastrovirus	BatAstV
Miniopterus bat astrovirus	BatAstV
Mops bat astrovirus	BatAstV
Rousettus bat astrovirus	BatAstV
Wenzhou bat astrovirus 1	BatAstV
Wenzhou bat astrovirus 2	BatAstV
Wenzhou bat astrovirus 3	BatAstV
Wenzhou bat astrovirus 4	BatAstV
Astrovirus swine/PoAStV18-5/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV10-4/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV11-2/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV12-3/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV12-4/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV13-1/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV14-4/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV15-2/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV15-6/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV16-2/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV17-4/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV19-3/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV2-2/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV20-5/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV7-2/Canada/2006	PorcineAstV
Astrovirus swine/PoAstV7-3/Canada/2006	PorcineAstV
Bastrovirus/VietNam/Porcine/17489_85	PorcineAstV
Heilongjiang porcine bastro-like virus	PorcineAstV
Porcine astrovirus 1	PorcineAstV
Porcine astrovirus 2	PorcineAstV
Porcine astrovirus 2 Shanghai/2008	PorcineAstV
Porcine astrovirus 2/BEL/15V010	PorcineAstV
Porcine astrovirus 3	PorcineAstV
Porcine astrovirus 4	PorcineAstV
Porcine astrovirus 4/BEL/15V010	PorcineAstV
Porcine astrovirus 5	PorcineAstV
Porcine astrovirus China	PorcineAstV
Porcine astrovirus PAstV-2/2007/HUN	PorcineAstV
Porcine bastrovirus	PorcineAstV
Zhejiang porcine bastro-like virus	PorcineAstV
Aethomys rat astrovirus	MAstV
Astrovirus PREDICT MAstV-111	MAstV
Astrovirus PREDICT MAstV-112	MAstV
Astrovirus PREDICT MAstV-113	MAstV
Astrovirus PREDICT MAstV-117	MAstV
Astrovirus PREDICT MAstV-118	MAstV
Astrovirus PREDICT MAstV-122	MAstV
Astrovirus PREDICT MAstV-125	MAstV
Astrovirus PREDICT MAstV-126	MAstV
Astrovirus PREDICT MAstV-127	MAstV
Astrovirus PREDICT MAstV-128	MAstV
Astrovirus PREDICT MAstV-137	MAstV
Astrovirus PREDICT_MAstV-135	MAstV
Bamboo rat astrovirus	MAstV
Jingmen rodent astrovirus 1	MAstV
Jingmen rodent astrovirus 2	MAstV
Jingmen rodent astrovirus 3	MAstV
Jingmen rodent bastrovirus 1	MAstV
Longquan rodent astrovirus 1	MAstV
Longquan rodent astrovirus 2	MAstV
Mouse astrovirus M-52/USA/2008	MAstV
Murine astrovirus	MAstV
Murine astrovirus 1	MAstV
Murine astrovirus 2	MAstV
Rat astrovirus	MAstV
Rat astrovirus Ne/FG045/Yunnan	MAstV
Rat astrovirus Ne/FG046/Yunnan	MAstV
Rat astrovirus Ne/FG047/Yunnan	MAstV
Rat astrovirus Ne/FG048/Yunnan	MAstV
Rat astrovirus Ne/FG111/Yunnan	MAstV
Rat astrovirus Ne/FG168/Yunnan	MAstV
Rat astrovirus Rn/S510/Guangzhou	MAstV
Rat astrovirus Rt/X104/Xiamen	MAstV
Rat mamastrovirus	MAstV
Rodent astrovirus	MAstV
Wenzhou rodent astrovirus 1	MAstV
Wufeng rodent astrovirus 1	MAstV
Wufeng rodent astrovirus 2	MAstV
Yunnan rodent mamastrovirus 1	MAstV
Yunnan rodent mamastrovirus 2	MAstV
Yunnan rodent mamastrovirus 3	MAstV
Yunnan rodent mamastrovirus 4	MAstV
Yunnan rodent mamastrovirus 5	MAstV
Avastrovirus guineafowl/ITA/2010/Bari-ELVA	AvianAstV
Avian associated bastrovirus 1	AvianAstV
Avian associated bastrovirus 2	AvianAstV
Avian astrovirus	AvianAstV
